
"61st Precinct",,
"   April ",,
"","",""
"Backing Unsafely",1,1
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",59,258
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",74,191
"Driving Too Slow",0,0
Equipment,12,45
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",56,241
"Failure to Signal",0,13
"Following Too Closely",0,0
"Improper Passing",5,14
"Improper Taxi Pickup",0,0
"Improper Turn",3,23
"Improper/Missing Plates",4,7
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",1,8
"Obstructed Plate",8,38
"One Way Street",1,7
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",1,1
"Red Light",19,100
"School Bus",18,18
"Scooter In NYC",0,0
"Seat Belt",54,367
Speeding,53,256
Spillback,0,0
"TBTA Rule",0,0
Tints,22,101
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,1,3
Uninsured,4,21
"Unlicensed Operator",16,84
Unregistered,8,22
"Unsafe Lane Change",0,2
"Other Movers",65,326
"061 TOTAL Movers ",485,2148
