Transit Bureau,,
Backing Unsafely,0,1
Bike Lane,0,0
Bus Lane,0,40
Cell Phone,0,6
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,0,81
Driving Too Slow,0,0
Equipment,0,11
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,1
Failure to Signal,0,1
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,0,2
Improper Turn,0,32
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,1
Obstructed Plate,1,1
One Way Street,0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,0,4
School Bus,0,0
Scooter In NYC,0,0
Seat Belt,0,14
Speeding,1,1
Spillback,0,29
TBTA Rule,0,0
Tints,0,69
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,0
Uninsured,0,0
Unlicensed Operator,0,6
Unregistered,0,2
Unsafe Lane Change,1,1
Other Movers,0,6
TOTAL Movers,3,309
