"Moving Violations",,
"79th Precinct",,
"November ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,16
"Bike Lane",1,4
"Bus Lane",2,14
"Cell Phone",22,443
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",139,2006
"Driving Too Slow",0,1
Equipment,14,161
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,4
"Fail to yield Right of Way to Pedestrian",42,391
"Failure to Signal",30,462
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,1
"Improper Passing",0,9
"Improper Taxi Pickup",0,0
"Improper Turn",66,565
"Improper/Missing Plates",1,9
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,2
"Not Giving R of W to Veh.",1,2
"Obstructed Plate",11,83
"One Way Street",3,55
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",92,1162
"School Bus",15,58
"Scooter In NYC",0,0
"Seat Belt",59,622
Speeding,27,329
Spillback,0,4
"TBTA Rule",0,0
Tints,8,194
"TLC (Other)",0,0
"Truck Route",1,29
Uninspected,1,14
Uninsured,6,46
"Unlicensed Operator",53,655
Unregistered,1,69
"Unsafe Lane Change",0,10
"Other Movers",99,1077
"079TOTAL Movers ",695,8498
"* All figures are preliminary and subject to change.",,
