114th Precinct,,
Backing Unsafely,0,9
Bike Lane,0,2
Bus Lane,0,0
Cell Phone,73,947
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,179,2505
Driving Too Slow,0,0
Equipment,28,467
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,118,809
Failure to Signal,0,40
Failure to yield Right of Way to Vehicle,0,2
Following Too Closely,1,2
Improper Passing,2,17
Improper Taxi Pickup,0,1
Improper Turn,12,168
Improper/Missing Plates,1,4
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,6
Obstructed Plate,6,78
One Way Street,0,13
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,43,757
School Bus,0,4
Scooter In NYC,0,0
Seat Belt,48,1419
Speeding,169,861
Spillback,0,1
TBTA Rule,0,0
Tints,61,1083
TLC (Other),0,0
Truck Route,4,33
Uninspected,3,11
Uninsured,10,102
Unlicensed Operator,54,745
Unregistered,6,36
Unsafe Lane Change,1,11
Other Movers,116,1385
TOTAL Movers,935,11520
