Brooklyn North,,
Backing Unsafely,6,50
Bike Lane,64,232
Bus Lane,33,177
Cell Phone,245,2211
Commercial Veh on Pkwy,5,44
Cruising For Passengers,0,3
Disobey Traffic Control Device,1464,16071
Driving Too Slow,0,2
Equipment,359,2324
Equipment (Other),0,6
Excessive Noise,0,0
Fail to Keep Right,0,9
Fail to yield Right of Way to Pedestrian,373,3267
Failure to Signal,138,1577
Failure to yield Right of Way to Vehicle,1,8
Following Too Closely,10,22
Improper Passing,48,365
Improper Taxi Pickup,1,6
Improper Turn,444,3947
Improper/Missing Plates,11,70
Lamps and Other Equipment on Bicycle,0,4
Motorcycle (Other),29,145
Not Giving R of W to Veh.,7,59
Obstructed Plate,43,490
One Way Street,36,439
Overheight,0,0
Overlength,0,0
Overweight,0,1
Overwidth,0,0
Pavement Markings,0,10
Red Light,779,7128
School Bus,3,61
Scooter In NYC,0,5
Seat Belt,479,4852
Speeding,520,3815
Spillback,3,43
TBTA Rule,0,0
Tints,252,3389
TLC (Other),0,0
Truck Route,52,265
Uninspected,21,177
Uninsured,94,912
Unlicensed Operator,472,4126
Unregistered,105,898
Unsafe Lane Change,14,83
Other Movers,704,6664
TOTAL Movers,6815,63957
