Citywide,,
Backing Unsafely,55,662
Bike Lane,220,1554
Bus Lane,362,4492
Cell Phone,2786,33218
Commercial Veh on Pkwy,318,2660
Cruising For Passengers,7,65
Disobey Traffic Control Device,14215,166461
Driving Too Slow,4,45
Equipment,1823,24925
Equipment (Other),16,78
Excessive Noise,2,3
Fail to Keep Right,5,94
Fail to yield Right of Way to Pedestrian,9446,63955
Failure to Signal,1238,14845
Failure to yield Right of Way to Vehicle,10,80
Following Too Closely,75,833
Improper Passing,185,2384
Improper Taxi Pickup,176,1746
Improper Turn,6873,73177
Improper/Missing Plates,79,1131
Lamps and Other Equipment on Bicycle,9,106
Motorcycle (Other),115,2016
Not Giving R of W to Veh.,127,1238
Obstructed Plate,596,7404
One Way Street,384,4795
Overheight,4,97
Overlength,3,51
Overweight,16,107
Overwidth,0,0
Pavement Markings,28,315
Red Light,5611,59490
School Bus,129,2125
Scooter In NYC,0,51
Seat Belt,4808,61951
Speeding,11553,126549
Spillback,393,6004
TBTA Rule,0,2
Tints,2574,38091
TLC (Other),4,40
Truck Route,119,1358
Uninspected,233,2768
Uninsured,796,9668
Unlicensed Operator,3764,42782
Unregistered,926,9670
Unsafe Lane Change,344,3800
Other Movers,7394,79774
TOTAL Movers,77825,852660
