"Moving Violations",,
"1st Precinct",,
"December ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,2
"Bike Lane",0,6
"Bus Lane",1,32
"Cell Phone",20,482
"Commercial Veh on Pkwy",2,2
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",64,964
"Driving Too Slow",0,1
Equipment,8,28
"Equipment (Other)",1,3
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",150,1120
"Failure to Signal",2,34
"Failure to yield Right of Way to Vehicle",0,1
"Following Too Closely",0,0
"Improper Passing",2,3
"Improper Taxi Pickup",0,5
"Improper Turn",4,88
"Improper/Missing Plates",0,26
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",2,26
"Not Giving R of W to Veh.",0,4
"Obstructed Plate",0,21
"One Way Street",10,136
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",66,1084
"School Bus",1,7
"Scooter In NYC",0,0
"Seat Belt",10,543
Speeding,26,241
Spillback,1,3
"TBTA Rule",0,0
Tints,6,49
"TLC (Other)",0,0
"Truck Route",0,1
Uninspected,0,0
Uninsured,1,13
"Unlicensed Operator",1,35
Unregistered,0,2
"Unsafe Lane Change",2,8
"Other Movers",88,1243
"001TOTAL Movers ",468,6213
"* All figures are preliminary and subject to change.",,
