"Moving Violations",,
"Midtown South Precinct",,
"December ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,3
"Bike Lane",0,6
"Bus Lane",20,128
"Cell Phone",12,330
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",88,862
"Driving Too Slow",0,0
Equipment,3,103
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",282,3567
"Failure to Signal",24,171
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",1,1
"Improper Passing",0,4
"Improper Taxi Pickup",1,9
"Improper Turn",42,721
"Improper/Missing Plates",0,1
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,10
"Not Giving R of W to Veh.",0,6
"Obstructed Plate",19,168
"One Way Street",2,121
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",45,855
"School Bus",0,2
"Scooter In NYC",0,0
"Seat Belt",50,860
Speeding,0,292
Spillback,0,6
"TBTA Rule",0,0
Tints,22,536
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,1
Uninsured,0,8
"Unlicensed Operator",4,44
Unregistered,1,10
"Unsafe Lane Change",2,61
"Other Movers",119,2850
"014TOTAL Movers ",738,11736
"* All figures are preliminary and subject to change.",,
