"Moving Violations",,
"23rd Precinct",,
"December ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,11
"Bike Lane",0,4
"Bus Lane",14,109
"Cell Phone",33,567
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",162,1880
"Driving Too Slow",0,0
Equipment,11,175
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",175,1224
"Failure to Signal",3,20
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,1
"Improper Passing",2,26
"Improper Taxi Pickup",1,1
"Improper Turn",83,1153
"Improper/Missing Plates",1,7
"Lamps and Other Equipment on Bicycle",1,1
"Motorcycle (Other)",0,3
"Not Giving R of W to Veh.",1,7
"Obstructed Plate",1,30
"One Way Street",2,47
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",85,1317
"School Bus",1,26
"Scooter In NYC",0,0
"Seat Belt",39,541
Speeding,47,512
Spillback,0,1
"TBTA Rule",0,1
Tints,1,154
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,18
Uninsured,2,28
"Unlicensed Operator",11,167
Unregistered,10,52
"Unsafe Lane Change",1,12
"Other Movers",56,622
"023TOTAL Movers ",744,8718
"* All figures are preliminary and subject to change.",,
