"Moving Violations",,
"45th Precinct",,
"December ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,5
"Bike Lane",1,23
"Bus Lane",0,0
"Cell Phone",32,309
"Commercial Veh on Pkwy",2,20
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",116,1377
"Driving Too Slow",0,0
Equipment,22,471
"Equipment (Other)",0,2
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",68,611
"Failure to Signal",17,237
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",6,72
"Improper Passing",3,43
"Improper Taxi Pickup",0,0
"Improper Turn",20,231
"Improper/Missing Plates",12,54
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,6
"Not Giving R of W to Veh.",1,16
"Obstructed Plate",10,132
"One Way Street",4,56
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,3
"Red Light",33,322
"School Bus",0,51
"Scooter In NYC",0,0
"Seat Belt",34,352
Speeding,95,1926
Spillback,0,4
"TBTA Rule",0,0
Tints,58,1265
"TLC (Other)",0,0
"Truck Route",1,1
Uninspected,8,60
Uninsured,20,278
"Unlicensed Operator",42,643
Unregistered,30,238
"Unsafe Lane Change",11,135
"Other Movers",52,487
"045TOTAL Movers ",699,9430
"* All figures are preliminary and subject to change.",,
