"Moving Violations",,
"13th Precinct",,
" January ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",1,1
"Bike Lane",9,9
"Bus Lane",2,2
"Cell Phone",6,6
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",105,105
"Driving Too Slow",0,0
Equipment,3,3
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",155,155
"Failure to Signal",2,2
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",158,158
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",2,2
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",0,0
"One Way Street",0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",87,87
"School Bus",3,3
"Scooter In NYC",0,0
"Seat Belt",1,1
Speeding,138,138
Spillback,5,5
"TBTA Rule",0,0
Tints,0,0
"TLC (Other)",0,0
"Truck Route",1,1
Uninspected,0,0
Uninsured,4,4
"Unlicensed Operator",7,7
Unregistered,1,1
"Unsafe Lane Change",4,4
"Other Movers",39,39
"013TOTAL Movers ",733,733
"* All figures are preliminary and subject to change.",,
