"Moving Violations",,
"41st Precinct",,
" January ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",0,0
"Bike Lane",1,1
"Bus Lane",17,17
"Cell Phone",28,28
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",291,291
"Driving Too Slow",0,0
Equipment,24,24
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",176,176
"Failure to Signal",7,7
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",1,1
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",186,186
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",3,3
"Obstructed Plate",4,4
"One Way Street",0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",112,112
"School Bus",7,7
"Scooter In NYC",0,0
"Seat Belt",20,20
Speeding,262,262
Spillback,3,3
"TBTA Rule",0,0
Tints,11,11
"TLC (Other)",0,0
"Truck Route",2,2
Uninspected,1,1
Uninsured,8,8
"Unlicensed Operator",54,54
Unregistered,4,4
"Unsafe Lane Change",2,2
"Other Movers",91,91
"041TOTAL Movers ",1315,1315
"* All figures are preliminary and subject to change.",,
