"Moving Violations",,
"103rd Precinct",,
" January ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",0,0
"Bike Lane",0,0
"Bus Lane",5,5
"Cell Phone",34,34
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",187,187
"Driving Too Slow",0,0
Equipment,4,4
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",183,183
"Failure to Signal",5,5
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",100,100
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",1,1
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",1,1
"One Way Street",0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",103,103
"School Bus",0,0
"Scooter In NYC",0,0
"Seat Belt",56,56
Speeding,112,112
Spillback,0,0
"TBTA Rule",0,0
Tints,0,0
"TLC (Other)",0,0
"Truck Route",8,8
Uninspected,1,1
Uninsured,4,4
"Unlicensed Operator",22,22
Unregistered,1,1
"Unsafe Lane Change",0,0
"Other Movers",112,112
"103TOTAL Movers ",939,939
"* All figures are preliminary and subject to change.",,
