"Moving Violations",,
"6th Precinct",,
"February ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",2,3
"Bike Lane",50,71
"Bus Lane",2,2
"Cell Phone",18,31
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",158,342
"Driving Too Slow",0,0
Equipment,0,2
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",152,287
"Failure to Signal",19,61
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",1,2
"Improper Passing",0,0
"Improper Taxi Pickup",3,7
"Improper Turn",105,188
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",3,6
"Obstructed Plate",4,16
"One Way Street",1,5
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",68,150
"School Bus",0,0
"Scooter In NYC",0,0
"Seat Belt",36,62
Speeding,29,61
Spillback,1,3
"TBTA Rule",0,0
Tints,6,8
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,0
Uninsured,0,1
"Unlicensed Operator",17,33
Unregistered,0,0
"Unsafe Lane Change",16,35
"Other Movers",44,75
"006TOTAL Movers ",735,1452
"* All figures are preliminary and subject to change.",,
