"Moving Violations",,
"103rd Precinct",,
"February ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",1,1
"Bike Lane",0,0
"Bus Lane",10,15
"Cell Phone",19,53
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",202,389
"Driving Too Slow",0,0
Equipment,7,11
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",125,308
"Failure to Signal",2,7
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",2,2
"Improper Taxi Pickup",0,0
"Improper Turn",129,229
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",2,3
"Not Giving R of W to Veh.",2,2
"Obstructed Plate",3,4
"One Way Street",0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",111,214
"School Bus",0,0
"Scooter In NYC",0,0
"Seat Belt",82,138
Speeding,49,161
Spillback,0,0
"TBTA Rule",0,0
Tints,0,0
"TLC (Other)",0,0
"Truck Route",5,13
Uninspected,1,2
Uninsured,7,11
"Unlicensed Operator",30,52
Unregistered,3,4
"Unsafe Lane Change",1,1
"Other Movers",73,185
"103TOTAL Movers ",866,1805
"* All figures are preliminary and subject to change.",,
