"Moving Violations",,
"122nd Precinct",,
"February ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",1,1
"Bike Lane",0,0
"Bus Lane",2,4
"Cell Phone",24,53
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",273,581
"Driving Too Slow",0,0
Equipment,12,31
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",35,75
"Failure to Signal",31,69
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,1
"Improper Passing",0,3
"Improper Taxi Pickup",0,0
"Improper Turn",66,128
"Improper/Missing Plates",1,1
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",1,1
"Obstructed Plate",39,77
"One Way Street",4,11
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",45,83
"School Bus",7,19
"Scooter In NYC",0,0
"Seat Belt",46,104
Speeding,162,370
Spillback,0,0
"TBTA Rule",0,0
Tints,19,41
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,3,8
Uninsured,21,42
"Unlicensed Operator",51,94
Unregistered,6,24
"Unsafe Lane Change",5,11
"Other Movers",171,325
"122TOTAL Movers ",1025,2157
"* All figures are preliminary and subject to change.",,
