Bronx,,
Backing Unsafely,8,26
Bike Lane,33,54
Bus Lane,29,57
Cell Phone,268,605
Commercial Veh on Pkwy,1,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,2130,4581
Driving Too Slow,0,0
Equipment,392,861
Equipment (Other),2,2
Excessive Noise,1,1
Fail to Keep Right,1,1
Fail to yield Right of Way to Pedestrian,851,2110
Failure to Signal,133,295
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,5,12
Improper Passing,16,37
Improper Taxi Pickup,1,1
Improper Turn,1010,2167
Improper/Missing Plates,19,46
Lamps and Other Equipment on Bicycle,1,1
Motorcycle (Other),2,5
Not Giving R of W to Veh.,17,39
Obstructed Plate,122,269
One Way Street,30,59
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,10
Red Light,554,1165
School Bus,26,54
Scooter In NYC,0,0
Seat Belt,368,745
Speeding,1189,3061
Spillback,7,22
TBTA Rule,0,0
Tints,423,975
TLC (Other),0,0
Truck Route,4,8
Uninspected,39,98
Uninsured,202,447
Unlicensed Operator,621,1396
Unregistered,225,469
Unsafe Lane Change,41,76
Other Movers,511,1378
TOTAL Movers,9284,21134
