"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","5","","","","231","12","1547","0","","0","","","","","1083","2","","0","","","","62","331","1","184","20","4","","897","6","","","154","5","","","34","","","","","119","","","","","1211","1","17","112","","","","","118","32","10","22","305","213","78","61","261","7138"
"2011_09","12","","","","253","18","1493","0","","0","","","","","1177","5","","2","","","","74","503","1","259","24","15","","986","2","","","155","5","","","66","","","","","114","","","","","1543","2","15","121","","","","","116","76","21","28","327","235","72","56","408","8184"
"2011_10","8","","","","245","8","1614","0","","7","","","","","1231","31","","10","","","","109","442","5","261","43","9","","1089","3","","","182","5","","","56","","","","","69","","","","","1185","0","9","122","","","","","150","54","17","24","285","208","67","56","295","7899"
"2011_11","7","","","","247","11","1521","0","","3","","","","","1331","35","","12","","","","146","371","5","272","28","13","","1002","1","","","129","13","","","48","","","","","70","","","","","1224","2","15","138","","","","","177","23","22","53","287","233","60","125","312","7936"
"2011_12","3","","","","269","14","1320","0","","2","","","","","921","39","","3","","","","128","331","6","324","27","10","","932","5","","","101","17","","","43","","","","","83","","","","","981","0","20","160","","","","","215","37","27","53","327","189","92","88","297","7064"
"2012_01","7","","","","262","14","1354","0","","0","","","","","1434","32","","7","","","","150","580","9","402","51","9","","1307","14","","","176","17","","","93","","","","","118","","","","","984","3","8","268","","","","","247","43","64","110","351","282","106","123","431","9056"
"2012_02","8","","","","234","49","1294","0","","5","","","","","1770","29","","4","","","","183","470","1","359","31","13","","1349","1","","","208","11","","","75","","","","","139","","","","","1183","116","27","248","","","","","210","29","73","58","436","290","97","92","551","9643"
"2012_03","10","","","","195","27","1735","0","","0","","","","","1537","35","","3","","","","184","424","4","293","26","28","","1252","7","","","219","27","","","60","","","","","100","","","","","1240","13","24","211","","","","","289","60","67","54","608","276","114","116","651","9889"
"2012_04","9","","","","188","19","1540","0","","1","","","","","1584","44","","2","","","","156","419","7","296","26","74","","1136","4","","","241","5","","","57","","","","","173","","","","","1272","86","12","225","","","","","306","39","56","44","539","292","85","94","670","9701"
"2012_05","13","","","","251","11","1593","2","","0","","","","","1730","36","","4","","","","207","357","4","281","49","89","","1214","11","","","226","15","","","60","","","","","121","","","","","1628","14","19","220","","","","","227","22","43","71","573","323","99","100","540","10153"
"2012_06","13","","","","251","11","1593","2","","0","","","","","1730","36","","4","","","","207","357","4","281","49","89","","1214","11","","","226","15","","","60","","","","","121","","","","","1628","14","19","220","","","","","227","22","43","71","573","323","99","100","540","10153"
"2012_07","11","","","","226","6","1502","0","","0","","","","","1379","35","","1","","","","226","647","2","272","28","49","","1107","5","","","165","8","","","126","","","","","152","","","","","1080","0","14","174","","","","","126","14","54","37","561","285","80","180","707","9259"
"2012_08","12","","","","232","5","1668","0","","0","","","","","1455","22","","2","","","","238","442","2","266","25","35","","1209","14","","","182","21","","","74","","","","","202","","","","","1355","3","25","137","","","","","163","105","51","39","516","285","93","186","775","9839"
"2012_09","11","","","","187","10","1389","0","","0","","","","","1451","25","","2","","","","214","452","2","298","17","27","","955","7","","","125","15","","","49","","","","","151","","","","","1191","7","23","142","","","","","152","41","46","41","397","292","55","123","724","8621"
"2012_10","11","","","","190","32","1405","0","","0","","","","","1591","34","","4","","","","172","426","0","295","28","9","","1101","11","","","243","14","","","78","","","","","196","","","","","1110","7","34","123","","","","","189","58","41","47","398","278","65","105","658","8953"
"2012_11","10","","","","171","8","1068","0","","0","","","","","1107","13","","0","","","","194","310","4","301","34","54","","805","10","","","171","1","","","29","","","","","172","","","","","792","8","13","152","","","","","164","33","52","53","297","214","64","125","509","6938"
"2012_12","9","","","","234","11","1126","0","","2","","","","","1006","31","","3","","","","167","319","4","345","27","13","","880","14","","","179","6","","","47","","","","","173","","","","","845","7","34","139","","","","","196","40","44","41","345","223","61","135","556","7262"
"2013_01","14","","","","275","20","1432","1","","1","","","","","1698","36","","7","","","","250","482","3","413","23","10","","1294","13","","","184","17","","","59","","","","","225","","","","","1061","5","35","220","","","","","242","48","33","113","360","298","74","206","583","9735"
"2013_02","15","","","","279","35","1282","3","","0","","","","","1611","31","","4","","","","248","453","5","400","25","14","","1229","16","","","178","13","","","46","","","","","213","","","","","1052","10","31","191","","","","","269","15","46","47","422","299","86","134","516","9218"
"2013_03","9","","","","278","4","1521","0","","10","","","","","1547","25","","5","","","","238","412","0","325","30","12","","1342","15","","","224","27","","","67","","","","","288","","","","","1139","1","39","185","","","","","322","49","41","32","514","293","79","141","532","9746"
"2013_04","10","","","","232","12","1738","0","","1","","","","","1492","45","","4","","","","178","419","1","291","21","19","","1340","16","","","291","14","","","68","","","","","293","","","","","1232","4","37","222","","","","","315","70","23","40","475","339","102","183","529","10056"
"2013_05","6","","","","241","7","1783","0","","4","","","","","1482","64","","5","","","","150","417","2","263","12","25","","1470","31","","","222","18","","","67","","","","","347","","","","","1728","9","86","263","","","","","254","41","28","35","357","318","118","128","520","10501"
"2013_06","8","","","","256","26","1622","8","","0","","","","","1262","33","","3","","","","99","429","1","248","15","65","","1097","14","","","221","9","","","61","","","","","230","","","","","1265","4","24","201","","","","","239","48","24","29","340","302","84","50","486","8803"
